action,actor,category,condition,confidence,counter,expected_result,phase,purpose,risk,rule_id,source_class,target,trigger
third_man_press_escape,aggressive_gk,ATTACKING,executed_by_aggressive_gk,medium,opponent recognizes the pattern after repeated use and pre-emptively adjusts,a structural or individual advantage is converted into a tangible attacking outcome,attacking_organisation,apply the third man press escape pattern (core KB Section 57.2) in Z21,success depends on precise timing/execution; a mistimed attempt wastes the structural advantage created,SC00010,C,Z21,conditions_favorable_for_third_man_press_escape_in_Z21
false_nine_disruption,advanced_forward,ATTACKING,executed_by_advanced_forward,medium,opponent recognizes the pattern after repeated use and pre-emptively adjusts,a structural or individual advantage is converted into a tangible attacking outcome,offensive_transition,apply the false nine disruption pattern (core KB Section 57.2) in Z26,success depends on precise timing/execution; a mistimed attempt wastes the structural advantage created,SC00011,C,Z26,conditions_favorable_for_false_nine_disruption_in_Z26
third_man_press_escape,inverted_fb,ATTACKING,executed_by_inverted_fb,medium,opponent recognizes the pattern after repeated use and pre-emptively adjusts,a structural or individual advantage is converted into a tangible attacking outcome,offensive_transition,apply the third man press escape pattern (core KB Section 57.2) in Z22,success depends on precise timing/execution; a mistimed attempt wastes the structural advantage created,SC00012,C,Z22,conditions_favorable_for_third_man_press_escape_in_Z22
half_space_rotation_overload,segundo_volante,ATTACKING,executed_by_segundo_volante,medium,opponent recognizes the pattern after repeated use and pre-emptively adjusts,a structural or individual advantage is converted into a tangible attacking outcome,set_piece,apply the half space rotation overload pattern (core KB Section 57.2) in Z26,success depends on precise timing/execution; a mistimed attempt wastes the structural advantage created,SC00013,C,Z26,conditions_favorable_for_half_space_rotation_overload_in_Z26
delayed_offside_beating_run,deep_lying_forward,ATTACKING,executed_by_deep_lying_forward,medium,opponent recognizes the pattern after repeated use and pre-emptively adjusts,a structural or individual advantage is converted into a tangible attacking outcome,offensive_transition,apply the delayed offside beating run pattern (core KB Section 57.2) in Z27,success depends on precise timing/execution; a mistimed attempt wastes the structural advantage created,SC00014,C,Z27,conditions_favorable_for_delayed_offside_beating_run_in_Z27
baited_press_then_switch,trequartista,ATTACKING,executed_by_trequartista,medium,opponent recognizes the pattern after repeated use and pre-emptively adjusts,a structural or individual advantage is converted into a tangible attacking outcome,attacking_organisation,apply the baited press then switch pattern (core KB Section 57.2) in Z4,success depends on precise timing/execution; a mistimed attempt wastes the structural advantage created,SC00015,C,Z4,conditions_favorable_for_baited_press_then_switch_in_Z4
baited_press_then_switch,wide_cb,ATTACKING,executed_by_wide_cb,medium,opponent recognizes the pattern after repeated use and pre-emptively adjusts,a structural or individual advantage is converted into a tangible attacking outcome,offensive_transition,apply the baited press then switch pattern (core KB Section 57.2) in Z27,success depends on precise timing/execution; a mistimed attempt wastes the structural advantage created,SC00016,C,Z27,conditions_favorable_for_baited_press_then_switch_in_Z27
counterpress_to_shot,attacking_fb,ATTACKING,executed_by_attacking_fb,medium,opponent recognizes the pattern after repeated use and pre-emptively adjusts,a structural or individual advantage is converted into a tangible attacking outcome,offensive_transition,apply the counterpress to shot pattern (core KB Section 57.2) in Z29,success depends on precise timing/execution; a mistimed attempt wastes the structural advantage created,SC00017,C,Z29,conditions_favorable_for_counterpress_to_shot_in_Z29
third_man_press_escape,full_back,ATTACKING,executed_by_full_back,medium,opponent recognizes the pattern after repeated use and pre-emptively adjusts,a structural or individual advantage is converted into a tangible attacking outcome,attacking_organisation,apply the third man press escape pattern (core KB Section 57.2) in Z11,success depends on precise timing/execution; a mistimed attempt wastes the structural advantage created,SC00018,C,Z11,conditions_favorable_for_third_man_press_escape_in_Z11
false_nine_disruption,carrilero,ATTACKING,executed_by_carrilero,medium,opponent recognizes the pattern after repeated use and pre-emptively adjusts,a structural or individual advantage is converted into a tangible attacking outcome,set_piece,apply the false nine disruption pattern (core KB Section 57.2) in Z29,success depends on precise timing/execution; a mistimed attempt wastes the structural advantage created,SC00019,C,Z29,conditions_favorable_for_false_nine_disruption_in_Z29
baited_press_then_switch,complete_wing_back,ATTACKING,executed_by_complete_wing_back,medium,opponent recognizes the pattern after repeated use and pre-emptively adjusts,a structural or individual advantage is converted into a tangible attacking outcome,set_piece,apply the baited press then switch pattern (core KB Section 57.2) in Z21,success depends on precise timing/execution; a mistimed attempt wastes the structural advantage created,SC00020,C,Z21,conditions_favorable_for_baited_press_then_switch_in_Z21
overload_to_isolate,wide_playmaker,ATTACKING,executed_by_wide_playmaker,medium,opponent recognizes the pattern after repeated use and pre-emptively adjusts,a structural or individual advantage is converted into a tangible attacking outcome,offensive_transition,apply the overload to isolate pattern (core KB Section 57.2) in Z6,success depends on precise timing/execution; a mistimed attempt wastes the structural advantage created,SC00021,C,Z6,conditions_favorable_for_overload_to_isolate_in_Z6
overload_to_isolate,trequartista,ATTACKING,executed_by_trequartista,medium,opponent recognizes the pattern after repeated use and pre-emptively adjusts,a structural or individual advantage is converted into a tangible attacking outcome,set_piece,apply the overload to isolate pattern (core KB Section 57.2) in Z29,success depends on precise timing/execution; a mistimed attempt wastes the structural advantage created,SC00022,C,Z29,conditions_favorable_for_overload_to_isolate_in_Z29
third_man_press_escape,carrilero,ATTACKING,executed_by_carrilero,medium,opponent recognizes the pattern after repeated use and pre-emptively adjusts,a structural or individual advantage is converted into a tangible attacking outcome,set_piece,apply the third man press escape pattern (core KB Section 57.2) in Z7,success depends on precise timing/execution; a mistimed attempt wastes the structural advantage created,SC00023,C,Z7,conditions_favorable_for_third_man_press_escape_in_Z7
cutback_over_cross,complete_forward,ATTACKING,executed_by_complete_forward,medium,opponent recognizes the pattern after repeated use and pre-emptively adjusts,a structural or individual advantage is converted into a tangible attacking outcome,set_piece,apply the cutback over cross pattern (core KB Section 57.2) in Z3,success depends on precise timing/execution; a mistimed attempt wastes the structural advantage created,SC00024,C,Z3,conditions_favorable_for_cutback_over_cross_in_Z3
direct_run_in_behind_low_block,number_10,ATTACKING,executed_by_number_10,medium,opponent recognizes the pattern after repeated use and pre-emptively adjusts,a structural or individual advantage is converted into a tangible attacking outcome,offensive_transition,apply the direct run in behind low block pattern (core KB Section 57.2) in Z12,success depends on precise timing/execution; a mistimed attempt wastes the structural advantage created,SC00025,C,Z12,conditions_favorable_for_direct_run_in_behind_low_block_in_Z12
